ImageName,VietnameseName,Price
003.jpeg,LÒNG HEO NƯỚNG,35000
003.jpeg,MỀ GÀ NƯỚNG,35000
003.jpeg,MỰC NƯỚNG,35000
003.jpeg,TÔM NƯỚNG,35000
003.jpeg,BẠCH TUỘC NƯỚNG,35000
003.jpeg,SƯỜNG NƯỚNG BBQ,35000
003.jpeg,BA CHỈ HEO NƯỚNG,35000
003.jpeg,ẾCH NƯỚNG,35000
003.jpeg,BA CHỈ BÒ MỸ NƯỚNG,35000
003.jpeg,BA CHỈ BÒ CUỘN NẤM,40000
003.jpeg,BA CHỈ BÒ CUỘN PHÔ MAI,40000
003.jpeg,BÒ NƯỚNG SA TẾ,40000
003.jpeg,BÒ NƯỚNG LÁ LỐT,40000
003.jpeg,BẸ SỮA NƯỚNG,45000
003.jpeg,HÀU PHÔ MAI,12000
003.jpeg,HÀU NƯỚNG MỠ HÀNH,55000
003.jpeg,XÌA NƯỚNG,55000
003.jpeg,SÒ ĐIỆP NƯỚNG,55000
003.jpeg,ỐC BƯƠU NƯỚNG TIÊU XANH,59000
003.jpeg,BA CHỈ NƯỚNG,65000
003.jpeg,BẸ SỮA NƯỚNG,69000
003.jpeg,TÔM NƯỚNG,69000
003.jpeg,BẠCH TUỘC NƯỚNG,69000
003.jpeg,BÒ NƯỚNG CAY,69000
003.jpeg,BÒ NƯỚNG LÁ LỐT,69000
003.jpeg,BÒ CUỘN NẤM KIM CHÂM,79000
004.jpeg,LÒNG CHIÊN MẮM,49000
004.jpeg,LÒNG XÀO NGHỆ,49000
004.jpeg,XÌA HẤP SẢ,55000
004.jpeg,XÌA HẤP THÁI,55000
004.jpeg,ẾCH XÀO SẢ ỚT,55000
004.jpeg,ẾCH RANG LÁ CHANH,59000
004.jpeg,ẾCH RANG MUỐI,59000
004.jpeg,ẾCH CHIÊN MẮM,59000
004.jpeg,ẾCH CHIÊN BƠ,59000
004.jpeg,SỤN RANG MUỐI ,59000
004.jpeg,SỤN CHIÊN MẮM,59000
004.jpeg,CÁNH GÀ RANG MUỐI,59000
004.jpeg,CÁNH GÀ CHIÊN MẮM,59000
004.jpeg,CÁNH GÀ CHIÊN BƠ,59000
004.jpeg,ỐC BƯƠU HẤP SẢ,59000
004.jpeg,ỐC BƯƠU XÀO SẢ,59000
004.jpeg,ỐC BƯƠU UM TIÊU,59000
004.jpeg,ỐC MÓNG TAY XÀO SẢ,59000
004.jpeg,ỐC MÓNG TAY XÀO BƠ TỎI,59000
004.jpeg,ỐC MÓNG TAY XÀO RAU MUỐNG,59000
004.jpeg,LƯỠI VỊT RANG MUỐI,69000
004.jpeg,LƯỠI VỊT CHIÊN MẮM,69000
004.jpeg,CÀ NA RANG MUỐI,69000
004.jpeg,CÀ NA HẤP SẢ,69000
004.jpeg,CÀ NA XÀO SẢ,69000
004.jpeg,CÀ NA XÀO BƠ TỎI,69000
004.jpeg,CHÂN GÀ SỐT CÔ BA,69000
004.jpeg,CHÂN GÀ RANG MUỐI,69000
007.jpeg,"HOUSE WINE DABECO, SAUVIGNON, BLANC, VIETNAM",35000
007.jpeg,"HOUSE WINE CONNAISSUER, SAUVIGNON BLANC, FRANCE",65000
007.jpeg,"HOUSE WINE DABECO EXPORT, CADINAL, VIETNAM",35000
007.jpeg,"WHITE WINE CONNAISUUER, SHIRAZ, FRANCE",75000
007.jpeg,"WHITE WINE CONNAISUUER, SAUVIGON BLANC, FRANCE",390000
007.jpeg,"WHITE WINE DABECO CLASSIC, SAUVIGNON BLANC, VIETNAM",190000
007.jpeg,"RED WINE CONNAISSUEER, SHIRAZ, FRANCE 2005",480000
007.jpeg,"RED WINE 1895, CARBERNET SAUVIGNON, FRANCE, 2016 ",370000
007.jpeg,"RED WINE CHIVO, CARBERNET SAUVIGNON, CHILE",450000
007.jpeg,"RED WINE GLAMOUR, SPECIAL SELECTION, CARBERNET SAUVIGNON, CHILE",790000
007.jpeg,"RED WINE LUCKY SEVEN, CABERNET SAUVIGNON, AUSTRALIA, 2016",390000
007.jpeg,"RED WINE DABECO CLASSIC, CARDINAL, VIETNAM",190000
007.jpeg,"RED WINE DABECO STRONG WINE, CARBENET SAUVIGNON, VIETNAM",250000
007.jpeg,"RED WINE, COLCH RESERVE, CARBENET SAUVIGNON, CHILE, 2014",320000
007.jpeg,"RED WINE AVALON, CARBENET SHIRAZ MERLOT, AUSTRALIA",290000
008.jpeg,LƯỜN NGỖNG XÔNG KHÓI,79000
008.jpeg,TÔM HẤP,79000
008.jpeg,TÔM XÀO BƠ TỎI,79000
008.jpeg,TÔM RANG ME ,79000
008.jpeg,TÔM RANG MUỐI,79000
008.jpeg,MỰC HẤP,79000
008.jpeg,MỰC CHIÊN MẮM,79000
008.jpeg,MỰC SỐT SA TẾ,79000
008.jpeg,BẠCH TUỘC SỐT CÔ BA,79000
008.jpeg,BẠCH TUỘC SỐT SA TẾ,79000
008.jpeg,BẠCH TUỘC LẮC ỚT TẮC,79000
008.jpeg,BÒ TƠ HẤP SẢ,79000
008.jpeg,BÒ TƠ XÀO LÀ TỐT,79000
008.jpeg,BÒ TƠ XÀO LĂN,79000
008.jpeg,BÒ TƠ XÀO NÉN,79000
008.jpeg,BÒ TƠ XÀO SẢ ỚT,79000
008.jpeg,BẮP BÒ SỐT TIÊU XANH,85000
008.jpeg,BẮP BÒ XÀO SA TẾ,85000
008.jpeg,BÒ LÚC LẮC,85000
008.jpeg,TRỨNG NON CHÁY TỎI,85000
008.jpeg,CÀNG GHẸ RANG MUỐI,89000
008.jpeg,CÀNG GHẸ RANG ME,89000
008.jpeg,ỐC HƯƠNG HẤP,99000
008.jpeg,ỐC HƯƠNG XÀO SẢ,99000
008.jpeg,ỐC HƯƠNG BƠ TỎI,99000
008.jpeg,ỐC HƯƠNG RANG MUỐI,99000
008.jpeg,ỐC HƯƠNG XÀO ME,99000
009.jpeg,MỰC CƠM CHIÊN MẮM,120000
009.jpeg,MỰC CƠM CHIÊN TỎI,120000
009.jpeg,MỰC CƠM HẤP,120000
009.jpeg,MỰC CƠM NƯỚNG MUỐI ỚT,120000
009.jpeg,MỰC NANG CHIÊN MẮM,120000
009.jpeg,MỰC NANG CHIÊN TỎI,120000
009.jpeg,MỰC NANG HẤP,120000
009.jpeg,MỰC NANG XÀO CHUA NGỌT,120000
009.jpeg,MỰC ỐNG NƯỚNG MỌI,120000
009.jpeg,MỰC ỐNG CHIÊN TỎI,120000
009.jpeg,MỰC ỐNG CHIÊN XÙ,120000
009.jpeg,MỰC ỐNG HẤP HÀNH GỪNG,120000
009.jpeg,MỰC ỐNG NHÚNG DỪA,240000
009.jpeg,MỰC ỐNG NƯỚNG MUỐI ỚT,120000
009.jpeg,MỰC ỐNG XÀO CHUA NGỌT,125000
009.jpeg,KHÔ MỰC NƯỚNG,105000
009.jpeg,MỰC 1 NẮNG NƯỚNG,155000
009.jpeg,MỰC KHÔ CHIÊN MẮM,105000
009.jpeg,BẠCH TUỘC HẤP,NOT GIVEN
009.jpeg,BẠCH TUỘC NƯỚNG,NOT GIVEN
010.jpeg,CÁ ĐUỐI NẤU LÁ GIANG,140000
010.jpeg,CÁ ĐUỐI NƯỚNG,100000
010.jpeg,CÁ ĐUỐI UM,120000
010.jpeg,CÁ BÓP HẤP GIA VỊ,NOT GIVEN
010.jpeg,CÁ BÓP HẤP XÌ DẦU,NOT GIVEN
010.jpeg,CÁ BÓP NẤU MẶN,NOT GIVEN
010.jpeg,CÁ BÓP NẤU MĂNG,NOT GIVEN
010.jpeg,CÁ BÓP NƯỚNG GIA VỊ,NOT GIVEN
010.jpeg,CÁ BÓP NƯỚNG MUỐI ỚT,NOT GIVEN
010.jpeg,CÁ BÓP SỐT MUỐI,NOT GIVEN
010.jpeg,CÁ CHẠCH CHIÊN GIÒN,NOT GIVEN
010.jpeg,CÁ CHẠCH NƯỚNG,NOT GIVEN
010.jpeg,CÁ CHẠCH UM HOA CHUỐI,NOT GIVEN
010.jpeg,CÁ DÌA CHIÊN,NOT GIVEN
010.jpeg,CÁ DÌA NẤU LÁ GIANG,NOT GIVEN
010.jpeg,CÁ DÌA NƯỚNG,NOT GIVEN
010.jpeg,CÁ ĐỐI NẤU MẶN,NOT GIVEN
010.jpeg,CÁ ĐỐI NƯỚNG MUỐI ỚT,NOT GIVEN
010.jpeg,CÁ ĐỤC CHIÊN XÙ,NOT GIVEN
010.jpeg,CÁ ĐỤC NƯỚNG,NOT GIVEN
010.jpeg,CÁ GÁY NẤU MẶN,NOT GIVEN
010.jpeg,CÁ GÁY NƯỚNG MUÔI ỚT,NOT GIVEN
010.jpeg,CÁ HỒNG HẤP BÁNH TRÁNG,NOT GIVEN
010.jpeg,CÁ HỒNG NƯỚNG,NOT GIVEN
010.jpeg,CÁ HỒNG SỐT ME,NOT GIVEN
010.jpeg,CÁ MAO ẾCH NẤU RAU RĂM,NOT GIVEN
010.jpeg,CÁ MAO ẾCH NƯỚNG MUỐI ỚT,NOT GIVEN
011.jpeg,CÁ BÒ DA NƯỚNG,290000
011.jpeg,CÁ CƠM 1 NẮNG CHIÊN MẮM,75000
011.jpeg,CÁ RÔ BÍ CHIÊN GIÒN,80000
011.jpeg,CÁ SƠN NƯỚNG,290000
011.jpeg,LƯƠN NƯỚNG ỐNG TRE,95000
011.jpeg,LƯƠN UM,100000
011.jpeg,LƯƠN XÀO LĂN,95000
011.jpeg,LƯƠN XÀO MIẾN,105000
011.jpeg,LƯƠN XÀO XẢ ỚT,95000
011.jpeg,MIẾN XÀO LƯƠN,120000
011.jpeg,CHÌNH BIỂN NƯỚNG,380000
011.jpeg,CHÌNH MUN NẤU CHUỐI ĐẬU,NOT GIVEN
011.jpeg,CHÌNH MUN NƯỚNG MUỐI ỚT,NOT GIVEN
011.jpeg,CHÌNH MUN RANG MUỐI,NOT GIVEN
011.jpeg,CHÌNH MUN UM HOA CHUỐI,NOT GIVEN
015.jpeg,CHÁO BÒ BẰM,70000
015.jpeg,CHÁO CÁ BÓP,135000
015.jpeg,CHÁO CÁ LÓC,125000
015.jpeg,CHÁO GÀ,270000
015.jpeg,CHÁO LƯƠN,95000
015.jpeg,CHÁO HẢI SẢN,80000
015.jpeg,CHÁO HÀU,80000
015.jpeg,CHÁO THẬP CẨM,80000
015.jpeg,CHÁO TÔM,80000
015.jpeg,CHÁO TRẮNG CÁ CƠM KHO,80000
015.jpeg,CƠM CHIÊN CÁ MẶN,80000
015.jpeg,CƠM CHIÊN DƯƠNG CHÂU,80000
015.jpeg,CƠM CHIÊN HẢI SẢN,80000
015.jpeg,CƠM CHIÊN THẬP CẨM,80000
015.jpeg,CƠM CHIÊN TÔM,80000
015.jpeg,CƠM CHIÊN TRỨNG,55000
015.jpeg,CƠM CHIÊN MUỐI ỚT,55000
015.jpeg,CƠM CHIÊN TỎI,55000
015.jpeg,BÚN SÓNG THẦN XÀO HẢI SẢN,160000
015.jpeg,BÚN SÓNG THẦN XÀO LÒNG GÀ,120000
015.jpeg,BÚN SÓNG THẦN XÀO NẤM THỊT BÒ,160000
015.jpeg,MÌ XÀO BÊ,80000
015.jpeg,MÌ XÀO BÒ,80000
015.jpeg,MÌ XÀO CẢI,55000
015.jpeg,MÌ XÀO HẢI SẢN,85000
015.jpeg,MÌ XÀO THẬP CẨM,85000
015.jpeg,MÌ XÀO TÔM,85000
016.jpeg,ĐUÔI BÒ HẦM BÍ ĐỎ,280000
016.jpeg,GÂN PÍN BÒ THÊM,70000
016.jpeg,GÂN BÒ PÍN BÒ HẦM THUỐC BẮC,180000
016.jpeg,GÂN BÒ HẦM NGŨ QUẢ,180000
016.jpeg,GÂN BÒ HẤP XẢ,100000
016.jpeg,GÂN BÍN BÒ XÀO NẤM,180000
016.jpeg,NGỌC DƯƠNG TIÊM BÍ ĐỎ,750000
016.jpeg,NGỌC DƯƠNG TIÊM THUỐC BẮC,750000
016.jpeg,NGỌC KÊ HẤP HÀNH,220000
016.jpeg,NGỌC KÊ XÀO NẤM,220000
016.jpeg,NGỌC KÊ BÍN BÒ XÀO NẤM,220000
017.jpeg,CÁ LÓC CHIÊN XÙ,120000
017.jpeg,CÁ LÓC HẤP BẦU,130000
017.jpeg,CÁ LÓC NẤU LÁ GIANG,130000
017.jpeg,CÁ LÓC NƯỚNG GIA VỊ,120000
017.jpeg,CÁ LÓC NƯỚNG ỐNG TRE,130000
017.jpeg,CÁ LÓC NẤU DỪA,130000
017.jpeg,CÁ LÓC UM CHUỐI CAY,130000
017.jpeg,CÁ NINJA NƯỚNG,85000
017.jpeg,CÁ NINJA UM,110000
017.jpeg,CÁ NGỪ ĐẠI DƯƠNG MÙ TẠT,160000
017.jpeg,MẮT CÁ NGỪ ĐẠI DƯƠNG CHƯNG,55000
017.jpeg,MẮT CÁ NGỪ ĐẠI DƯƠNG HẦM THUỐC BẮC,55000
017.jpeg,MẮT CÁ NGỪ ĐẠI DƯƠNG HẦM TIÊU,55000
017.jpeg,CÁ NGỪ ĐẠI DƯƠNG NẤU LÁ GIANG,55000
017.jpeg,CÁ MÚ HẤP GIA VỊ,NOT GIVEN
017.jpeg,CÁ MÚ HẤP XÌ DẦU,NOT GIVEN
017.jpeg,CÁ MÚ KHO CHÁO TRẮNG,NOT GIVEN
017.jpeg,CÁ MÚ NƯỚNG MUỐI ỚT,NOT GIVEN
017.jpeg,CÁ MÚ PHILE MÙ TẠT,NOT GIVEN
017.jpeg,CÁ MÚ SỐNG MÙ TẠT CHÁO,NOT GIVEN
017.jpeg,CÁ MẬP NHÚNG DẤM,NOT GIVEN
017.jpeg,CÁ MẬP MÙ TẠC,NOT GIVEN
017.jpeg,CÁ MẬP CHÁO ĐẬU XANH,NOT GIVEN
017.jpeg,CÁ TẦM MÙ TẠC,NOT GIVEN
017.jpeg,CÁ TẦM RANG MUỐI,NOT GIVEN
017.jpeg,CÁ TẦM RANG MUỐI ỚT,NOT GIVEN
017.jpeg,CÁ TẦM NẤU MĂNG CHUA,NOT GIVEN
017.jpeg,CÁ TẦM NẤU LÁ GIANG,NOT GIVEN
017.jpeg,LẨU CÁ TẦM,NOT GIVEN
017.jpeg,CÁ LĂNG NƯỚNG RIỀNG XẢ,NOT GIVEN
017.jpeg,CÁ LĂNG NƯỚNG NGHỆ,NOT GIVEN
017.jpeg,CÁ LĂNG NẤU MĂNG CHUA,NOT GIVEN
017.jpeg,CÁ LĂNG NẤU CHÁO,NOT GIVEN
018.jpeg,CÀ TÍM DÊ CHIÊN GIÒN,65000
018.jpeg,CHÁO CHAY,70000
018.jpeg,CHÁO NẤM,55000
018.jpeg,CƠM CHIÊN CHAY,65000
018.jpeg,GỎI CHAY,60000
018.jpeg,LẨU NẤM CHAY,150000
018.jpeg,MÌ XÀO CHAY CHIÊN GIÒN,65000
018.jpeg,MÌ XÀO NẤM CHAY,70000
018.jpeg,MIẾN XÀO CHAY,85000
018.jpeg,MIẾN XÀO NẤM,70000
018.jpeg,NẤM KHO TIÊU CHAY CƠM TRẮNG,85000
018.jpeg,NẤM XÀO,55000
020.jpeg,PINEAPPLE,45000
020.jpeg,PASSION FRUIT,45000
020.jpeg,TROPICAL HONEY,50000
020.jpeg,SUNSET KISS,50000
020.jpeg,ENERGY BOOSTER,55000
020.jpeg,PASSION LOVE,55000
022.jpeg,GÀ TA HẤP NẤM,270000
022.jpeg,GÀ 3 MÓN,310000
022.jpeg,GÀ NƯỚNG ỐNG TRE,160000
022.jpeg,GÀ TA CHIÊN MẮM,270000
022.jpeg,GÀ TA TIỀM ỚT HIỂM,310000
022.jpeg,GÀ TA HẤP HÀNH,270000
022.jpeg,GÀ TA HẤP LÁ CHANH,270000
022.jpeg,GÀ TA NƯỚNG MUỐI ỚT,270000
022.jpeg,GÀ TA XÀO XẢ ỚT,270000
022.jpeg,GỎI GÀ XÉ PHAY RAU RĂM,270000
022.jpeg,CHIM CÚT CHIÊN MẮM,20000
022.jpeg,CHIM CÚT NẤU RAU MUỐNG,70000
022.jpeg,CHIM CÚT NƯỚNG,20000
023.jpeg,CHẢ TÔM,95000
023.jpeg,CHẢ ỐC NƯỚNG GIẤY BẠC,105000
023.jpeg,CHẢ ỐC CHIÊN,95000
023.jpeg,CHẢ RAM TÔM ĐẤT,75000
023.jpeg,BẮP XÀO HÀNH,55000
023.jpeg,BẮP XÀO TÔM,65000
023.jpeg,BẮP LUỘC CHẤM TRỨNG,50000
023.jpeg,CẢI XÀO NẤM,75000
023.jpeg,CHẢ CÁ THÁC LÁC CHIÊN,75000
023.jpeg,ĐẬU HŨ CHIÊN,50000
023.jpeg,ĐẬU HŨ CHIÊN XẢ ỚT,55000
023.jpeg,ĐẬU HŨ HẤP,50000
023.jpeg,ĐẬU HŨ MẮM TÔM,50000
023.jpeg,ĐẬU HŨ SỐT CÀ,60000
023.jpeg,ĐẬU HŨ XÔNG KHÓI,95000
023.jpeg,ĐẬU NON CHIÊN XÙ,60000
023.jpeg,ĐẬU NON HẤP,60000
023.jpeg,ĐẬU NON LƯỚT VÁN,65000
023.jpeg,KHỔ QUA DĂM BÔNG,60000
023.jpeg,KHOAI LANG XÓC MUỐI,60000
023.jpeg,KHOAI LANG CHIÊN MẮM,60000
023.jpeg,KHOAI TÂY CHIÊN,60000
023.jpeg,NGŨ QUẢ LUỘC KHO QUẸT,75000
023.jpeg,PHÔ MAI CHIÊN XÙ,90000
023.jpeg,RAU RỪNG MẮM CUA,75000
023.jpeg,SỤN GÀ CHIÊN BỘT,95000
023.jpeg,SỤN GÀ CHIÊN MẮM,95000
023.jpeg,TRỨNG NON XÀO MƯỚP,95000
023.jpeg,TRỨNG NON XÀO NẤM,100000
024.jpeg,TIGER NÂU,16000
024.jpeg,TIGER BẠC,18000
024.jpeg,TIGER LON,18000
024.jpeg,KEN CHAI,19000
024.jpeg,KEN LON,21000
024.jpeg,KEN SILIC (KEN CAO),24000
024.jpeg,KEN YẾN,2800
024.jpeg,SÀI GÒN TRẮNG,14000
024.jpeg,SÀI GÒN SPECIAL,16000
024.jpeg,NƯỚC NGỌT,14000
024.jpeg,BÒ HÚC,16000
024.jpeg,NƯỚC SUỐI,10000
025.jpeg,ẾCH NƯỚNG ỐNG TRE,95000
025.jpeg,ẾCH NƯỚNG MỌI,80000
025.jpeg,ẾCH CHIÊN BƠ,80000
025.jpeg,ẾCH CHIÊN BỘT,80000
025.jpeg,ẾCH CHIÊN GIÒN,80000
025.jpeg,ẾCH GIA VỊ,80000
025.jpeg,ẾCH XÀO LĂN,80000
025.jpeg,ẾCH XÀO XẢ ỚT,80000
029.jpeg,LẨU CÁ BÓP ,260000
029.jpeg,LẨU CÁ DÌA NẤU LÁ GIANG,NOT GIVEN
029.jpeg,LẨU CÁ ĐUỐI,190000
029.jpeg,LẨU CÁ LÓC,140000
029.jpeg,LẨU CÁ MÚ,NOT GIVEN
029.jpeg,LẨU CÁ THÁC LÁC KHỔ QUA,220000
029.jpeg,LẨU CÁ THÁC LÁC LÁ GIANG,220000
029.jpeg,LẨU CUA GẠCH,NOT GIVEN
029.jpeg,LẨU CUA THỊT,NOT GIVEN
029.jpeg,LẨU GÀ LÁ É,290000
029.jpeg,LẨU GÀ LÁ GIANG,290000
029.jpeg,LẨU BÒ CHUA CAY,240000
029.jpeg,LÂU ĐUÔI MÓNG BÒ,240000
029.jpeg,LẨU ẾCH LÁ GIANG,140000
029.jpeg,LẨU GHẸ,NOT GIVEN
029.jpeg,LẨU HẢI SẢN,240000
029.jpeg,LẨU LƯƠN,220000
029.jpeg,LẨU MỰC,240000
029.jpeg,LẨU SỨA NƯỚC LÈO,240000
029.jpeg,LẨU THÁI,240000
029.jpeg,LẨU THẬP CẨM,240000
030.jpeg,ỐC LEN XÀO DỪA,95000
030.jpeg,ỐC NHẢY ĐỎ HẤP,NOT GIVEN
030.jpeg,ỐC NHẢY HẤP,NOT GIVEN
030.jpeg,CHÌNH BIỂN UM HOA CHUỐI,380000
030.jpeg,SÒ ĐIỆP NƯỚNG MỠ HÀNH,95000
030.jpeg,SÒ HUYẾT HẤP,125000
030.jpeg,SÒ HUYẾT NƯỚNG,125000
030.jpeg,SÒ HUYẾT RAM ME,125000
030.jpeg,SÒ LỤA HẤP,135000
030.jpeg,SÒ LỤA XÀO HÙNG QUẾ,135000
030.jpeg,TU HÀI TRẮNG NƯỚNG MỠ HÀNH,NOT GIVEN
030.jpeg,TU HÀI VOI HẤP,NOT GIVEN
030.jpeg,TU HÀI VOI NƯỚNG MỠ HÀNH,NOT GIVEN
030.jpeg,XÌA ĐEN HẤP SẢ ỚT,110000
030.jpeg,XÌA ĐEN HẤP THÁI,110000
030.jpeg,XÌA ĐEN NƯỚNG MỠ HÀNH,110000
030.jpeg,XÌA TRẮNG HẤP,60000
030.jpeg,HÀU ĐỔ CHẢ TRỨNG,95000
030.jpeg,HÀU MÙ TẠT,130000
030.jpeg,HÀU NƯỚNG MỠ HÀNH,130000
030.jpeg,HÀI NƯỚNG MỌI,130000
030.jpeg,HÀU NƯỚNG PHÔ MAI,130000
030.jpeg,HÀU SỮA NHÚNG,130000
033.jpeg,BÁNH TRÁNG TRỨNG,12000
033.jpeg,PHÁ LẤU SÀI GÒN,23000
033.jpeg,GỎI BÒ KHÔ,15000
033.jpeg,TRỨNG TAN,4000
033.jpeg,TRỨNG CÚT LỘN,14000
033.jpeg,TRỨNG VỊT LỘN,7000
033.jpeg,NƯỚC ĐẬU SƯƠNG SÁO,8000 - 10000
033.jpeg,RAU MÁ MIX,10000
033.jpeg,TRÀ BÍ ĐAO HẠT CHIA,10000
033.jpeg,NƯỚC ÉP CÁC LOẠI ,10000 - 12000
033.jpeg,NƯỚC NGỌT CÁC LOẠI,4000 - 5000
058.jpeg,BẠC XỈU CỐT DỪA S,35000
058.jpeg,BẠC XỈU CỐT DỪA L,43000
058.jpeg,BẠC XỈU KẸO BƠ S,27000
058.jpeg,BẠC XỈU KẸO BƠ L,37000
058.jpeg,BẠC XỈU ARABICA HẠT DẺ S,29000
058.jpeg,BẠC XỈU ARABICA HẠT DẺ L,39000
058.jpeg,CAPPUCCINO LATTE S,35000
058.jpeg,CAPPUCCINO LATTE L,45000
058.jpeg,CARAMEL MACCHIATO S,35000
058.jpeg,CARAMEL MACCHIATO L,45000
058.jpeg,ESPRESSO S,22000
058.jpeg,ESPRESSO L,29000
058.jpeg,ARABICA SỮA TƯƠI S,29000
058.jpeg,ARABICA SỮA TƯƠI L,39000
058.jpeg,COLD BREW ARABICA S,29000
058.jpeg,COLD BREW ARABICA L,39000
058.jpeg,BẠC XỈU PHẠM S,22000
058.jpeg,BẠC XỈU PHẠM L,30000
058.jpeg,CÀ PHÊ ĐEN NÓNG S,15000
058.jpeg,CÀ PHÊ ĐEN NÓNG L,20000
058.jpeg,CÀ PHÊ ĐEN ĐÁ S,17000
058.jpeg,CÀ PHÊ ĐEN ĐÁ L,22000
058.jpeg,CÀ PHÊ SỮA NÓNG S,16000
058.jpeg,CÀ PHÊ SỮA NÓNG L,22000
058.jpeg,CÀ PHÊ SỮA ĐÁ S,18000
058.jpeg,CÀ PHÊ SỮA ĐÁ L,25000
063.jpeg,THỊT DÊ NHỎ,179000
063.jpeg,THỊT DÊ LỚN,249000
064.jpeg,THỊT DÊ NHỎ,179000
064.jpeg,THỊT DÊ LỚN,249000
064.jpeg,NHỰNG CHÂN DÊ,229000
065.jpeg,SƯỜN DÊ NHỎ,179000
065.jpeg,SƯỜNG DÊ LỚN,249000
065.jpeg,SƯỜN DÊ NƯỚNG KIM CHI,89000
066.jpeg,NGỌC DƯƠNG HẦM BÁC BẢO,499000
066.jpeg,NGỌC DƯƠNG ĐẶC BIỆT HẤP TIỀM THUỐC BẮC,650000
066.jpeg,NGỌC DƯƠNG HẤP TIỀM THUỐC BẮC,550000
066.jpeg,NGỌC DƯƠNG HẦM CỦ SEN,379000
066.jpeg,NGỌC DƯƠNG XÀO SẢ ỚT,379000
066.jpeg,NGỌC DƯƠNG NẤU LẨU,379000
066.jpeg,XÍ QUÁCH DÊ,225000
066.jpeg,XƯƠNG,139000
066.jpeg,THỊT,139000
066.jpeg,RAU LẨU,15000
066.jpeg,RAU KHAI VỊ,20000
066.jpeg,BÚN ,10000
066.jpeg,BÁNH MÌ,10000
066.jpeg,MÌ TÔM ,10000
066.jpeg,TIẾT CANH,20000
067.jpeg,XƯƠNG DÊ NHỎ,229000
067.jpeg,XƯƠNG DÊ LỚN,269000
068.jpeg,DỒI DÊ CHIÊN,95000
068.jpeg,TIẾT CANH CHÉN,20000
068.jpeg,TIẾT CANH ĐĨA,60000
068.jpeg,KHOAI TÂY CHIÊN,40000
068.jpeg,ĐẬU KHUÔN CHIÊN,40000
068.jpeg,ĐẬU BẮP CÀ TÍM XÀO TỎI,40000
068.jpeg,RAU TẬP TÀN XÀO TỎI,40000
068.jpeg,LÒNG DÊ HẤP GỪNG,69000
068.jpeg,LÒNG DÊ XÀO ĐẮNG,69000
068.jpeg,ÓC DÊ CHƯNG TRỨNG,75000
068.jpeg,ÓC DÊ CHƯNG HÀNH,70000
068.jpeg,DÊ QUẤN MỠ CHÀI HONGKONG,165000
068.jpeg,SALAT DÊ 4 MÙA HONGKONG,165000
069.jpeg,VÚ DÊ,179000
069.jpeg,THỦ DÊ NGUYÊN CÁI,470000
069.jpeg,THỦ DÊ 1/2,235000
069.jpeg,CHÁO ÓC DÊ,110000
069.jpeg,CHÁO THỊT DÊ,129000
069.jpeg,CHÀO SƯỜN DÊ,199000
069.jpeg,CHÁO NHỰNG CHÂN,240000
